BCM4987s001r_VAxg_01	BCM4987s002r_VAxg_01	BCM4987s003r_VAxg_01	BCM4987s004r_VAxg_01	BCM4987s005r_VAxg_01	BCM4987s006r_VAxg_01	BCM4987s007r_VAxg_01	BCM4987s008r_VAxg_01	BCM4987s009r_VAxg_01	BCM4987s010r_VAxg_01	BCM4987s011r_VAxg_01	BCM4987s012r_VAxg_01
WARS2	111	118	62	67	56	44	79	35	81	72	60	53
HAO2	0	0	0	0	0	0	0	0	0	0	0	0
OSCP1	131	125	77	91	87	76	98	70	99	96	88	67
MRPS15	384	345	202	237	287	189	287	228	373	238	353	269
EXOC8	344	363	271	216	274	288	268	161	383	218	284	183
GNPAT	1023	1019	648	722	735	635	825	460	1018	791	694	586
TSNAX	455	459	347	275	292	301	341	209	387	333	348	323
C1orf109	151	145	88	80	92	76	132	79	154	128	124	120
RRAGC	156	219	165	105	117	153	117	89	202	129	173	130
TBCE	800	860	599	633	654	579	668	414	867	686	677	587
NID1	3358	3539	1525	2061	2263	1220	2613	1753	3301	3241	2506	1785
LGALS8	1573	1603	903	1037	1002	1027	1185	585	1289	1087	1005	790
NT5C1A	0	1	0	0	0	0	0	0	0	0	1	0
HPCAL4	3	1	1	0	1	0	0	0	0	0	0	2
MTR	3417	3061	1932	2073	2867	2650	2701	1652	3312	3422	2789	2180
BMP8B	334	319	183	212	202	219	257	166	265	206	245	167
MYCL	86	84	41	43	69	64	84	65	94	72	77	41
SIPA1L2	1516	2787	1451	1275	802	919	1027	614	2735	1092	1411	1140
ZP4	0	0	0	0	0	0	0	0	0	0	0	0
RLF	1177	1300	956	793	805	993	974	436	1353	966	874	754
KMO	13	16	23	14	42	41	69	39	39	27	35	49
ZNF684	26	53	19	21	39	18	43	23	38	31	31	21
KCNQ4	4	12	7	4	9	6	6	10	12	6	19	11
RIMS3	17	14	17	8	7	9	9	4	8	8	8	2
AKT3	521	646	383	349	472	356	693	251	309	390	371	264
ETV3	1210	1349	1039	728	794	802	904	528	1142	873	751	555
ACADM	289	311	159	204	191	185	238	114	289	236	195	178
ST6GALNAC5	41	49	21	24	27	25	33	10	32	29	22	10
SLAMF1	0	0	0	0	0	0	0	0	0	0	0	0
CD48	0	0	0	0	0	1	0	0	0	0	0	0
ADGRL2	2474	2523	1429	1485	1544	1346	1795	1308	2352	1865	1831	1415
PADI2	165	181	153	55	154	102	97	57	238	158	102	95
SDHB	1015	1102	616	617	815	642	926	537	1136	890	840	783
MFAP2	255	262	145	184	122	133	150	100	184	122	159	97
RPF1	234	219	169	191	149	158	183	142	243	159	161	164
KDM5B	3279	3231	2636	1878	1677	2603	2444	940	2643	1996	1566	1261
UAP1	1323	1559	931	911	1067	950	1345	677	1351	1100	928	775
ACTL8	2	3	0	4	1	0	0	0	0	2	2	0
CTBS	93	138	79	84	64	107	102	54	118	78	77	82
RGS4	14	16	4	4	8	6	18	8	18	12	22	11
KLHL12	1133	1161	754	724	765	719	889	490	1029	792	745	629
IGSF21	0	0	0	0	0	0	0	0	0	1	0	0
SSX2IP	163	144	83	76	107	88	117	84	138	91	118	113
ZNHIT6	213	166	95	123	145	98	157	92	233	146	124	136
PLA2G2D	1	0	0	0	0	0	0	0	0	0	0	0
RBBP5	388	391	283	267	286	282	303	204	471	268	303	278
GBP3	386	379	285	233	274	348	321	191	536	303	337	377
GBP1	147	119	99	66	128	76	120	95	233	117	147	195
KIF17	52	55	50	25	19	31	40	15	31	30	19	13
GPR89A	2124	2269	1454	1401	1538	1472	1650	1095	1954	1640	1741	1518
CDK18	219	198	217	141	144	235	145	70	194	272	98	74
RAB29	246	235	160	157	160	168	202	142	310	205	190	148
CD160	14	16	6	6	10	2	3	2	10	3	8	5
ECE1	3828	3711	2942	2318	3167	3439	3266	2366	4467	2943	3236	2730
HMGCL	336	356	234	245	186	264	281	101	271	259	173	204
GALE	1717	1995	1363	1195	1011	1209	1310	734	1552	1194	1242	930
ID3	236	254	231	154	196	164	166	152	237	126	217	156
CR2	4	7	6	3	4	2	8	5	5	2	9	2
CD46	7240	7186	5793	5725	4695	6826	6485	3714	7409	5383	6122	4914
PRPF3	3668	3896	2747	2492	2980	2227	2746	1892	3838	2449	2715	2171
APH1A	1897	2030	1294	1177	1133	1237	1584	872	1598	1319	1272	938
P3H1	1526	1660	1024	982	938	1025	1373	697	1454	1066	1068	795
SLC2A1	15991	16499	19192	8104	7121	14976	12126	5294	16065	6660	10649	7711
EBNA1BP2	1576	1606	836	985	1045	791	1127	798	1642	1097	1272	1026
CDC20	1527	1494	506	1024	891	422	1144	864	1485	866	1117	904
MPL	17	15	18	9	25	9	10	8	17	20	12	9
ARTN	8	13	4	5	9	7	8	5	2	3	5	5
IPO13	643	609	356	389	552	424	538	415	781	499	678	493
ATP6V0B	372	441	222	258	401	341	376	344	474	347	428	360
B4GALT2	682	726	382	416	491	343	522	386	619	517	461	354
ERI3	563	570	336	389	327	349	442	263	481	363	388	296
PTCH2	32	27	15	10	16	8	20	14	19	11	15	10
AKR1A1	1367	1466	804	920	867	744	1113	651	1251	885	819	787
PRDX1	1997	1965	1120	1235	1367	1085	1469	979	2220	1411	1439	1412
PIK3R3	29	23	9	14	27	8	18	22	40	26	42	16
TSPAN1	474	576	236	154	780	271	603	384	388	419	286	340
BLZF1	488	653	411	362	387	453	398	211	564	400	408	366
CCDC181	121	138	78	70	83	70	125	54	94	102	75	87
SLC19A2	286	266	174	219	223	180	294	205	309	244	239	210
FAAH	380	357	206	217	222	196	223	172	275	239	258	163
NSUN4	715	732	484	438	434	432	476	319	584	503	435	362
TMED5	149	146	87	120	99	108	126	83	176	117	135	126
MROH9	3	1	1	0	1	0	2	0	1	0	0	0
DR1	250	268	187	181	182	157	232	122	261	183	206	165
CNN3	182	147	159	95	98	187	106	84	227	152	136	101
PRRC2C	13207	12509	8014	8358	8803	7868	9652	6632	12959	9027	9873	7293
F3	1527	1686	1528	842	1141	2523	1353	746	2319	1088	1876	1006
ABCD3	338	374	211	268	290	251	338	203	364	325	280	288
VAMP4	27	29	26	13	28	26	16	20	33	22	22	19
DPH5	94	110	62	66	86	62	89	55	121	70	61	60
FASLG	0	0	0	1	0	1	0	0	0	0	1	1
PTBP2	89	116	62	74	79	45	67	45	83	80	71	72
TNFSF4	4	3	2	1	0	1	2	0	1	3	0	1
PRDX6	1150	1143	674	660	631	585	842	487	1020	713	706	585
DARS2	826	850	473	583	649	487	787	488	833	795	666	550
HSD11B1	2	1	3	2	1	3	2	4	3	4	1	0
IRF6	1109	1212	860	731	720	812	1029	507	1358	903	767	736
DIEXF	1088	1131	742	697	647	655	842	420	926	758	580	533
PLPPR5	0	0	0	0	0	0	0	0	0	0	0	0
PLPPR4	0	0	0	0	1	0	0	0	0	0	0	0
SERPINC1	4	1	0	1	2	4	0	1	2	2	1	2
RCAN3	240	212	128	141	139	86	179	111	132	108	106	106
SYF2	655	700	530	405	335	378	522	228	474	392	273	296
RSRP1	538	540	449	378	350	409	373	170	522	460	330	330
SLC35A3	17	28	29	11	18	15	12	11	25	21	24	21
RCOR3	931	897	634	566	561	557	658	379	693	587	551	418
STMN1	1375	1194	458	824	687	394	956	525	925	609	730	661
MTFR1L	569	579	410	360	431	438	455	278	562	467	402	280
MAN1C1	21	38	12	10	39	8	31	12	26	14	18	10
NEK2	527	462	208	309	316	182	404	237	469	305	357	307
RPS6KA1	976	901	638	570	668	594	744	463	885	685	681	527
DHDDS	1033	1022	551	630	674	601	762	476	912	722	735	573
NENF	744	817	408	420	459	394	581	297	753	589	469	437
NSL1	345	397	232	210	265	238	301	180	388	279	271	247
PROX1	502	638	529	266	566	426	759	357	582	402	483	360
ARID1A	10705	10233	6900	6720	6182	6084	7316	4815	9367	6209	7033	4484
CENPF	6729	6355	2098	4202	4428	2045	4972	3621	5983	3700	4469	3974
RPA2	780	759	428	457	466	365	591	323	803	555	564	430
PPP1R8	777	802	428	497	458	427	587	371	713	458	529	408
STX12	135	146	102	107	97	84	112	66	162	99	90	95
MARC2	167	194	90	111	126	93	110	79	132	127	108	85
SLC5A9	26	18	14	13	16	9	11	4	5	7	8	8
OSBPL9	702	776	452	512	487	450	628	352	720	496	452	384
TXNDC12	252	283	189	177	189	198	222	125	270	196	187	157
ESYT2	5679	6135	5014	3410	3011	4165	4400	2060	5433	3392	3376	2782
CD3EAP	76	65	48	37	59	35	51	35	72	44	54	45
MESDC2	1111	1089	736	746	711	694	877	564	1102	724	813	777
RCN2	1230	1197	662	828	913	835	1086	719	1386	918	1198	1053
CHRNB4	28	25	23	14	10	15	9	8	13	21	10	1
MUC5B	481794	409681	173127	225821	239371	102621	221509	204428	440623	253717	269773	163888
CTSD	6726	7356	5068	4322	4419	6990	6435	3388	5969	4741	5392	3228
COLEC11	257	245	177	134	251	235	283	134	182	228	154	137
STAG1	1915	1931	1207	1292	1374	1341	1696	939	1885	1670	1486	1373
A4GNT	0	0	0	0	2	0	0	0	0	0	0	0
STK11	613	605	365	390	423	339	423	274	557	369	408	293
KMT2A	9896	9801	5920	6092	6235	5645	7158	4223	9203	6630	6299	5088
TREH	18	2	8	14	8	8	12	4	16	7	9	10
IFT46	530	525	363	341	295	385	409	203	418	427	336	318
MMP8	0	0	0	0	0	0	0	0	0	0	0	0
APOA1	1	4	2	2	0	1	0	1	4	1	2	0
ZNF541	6	5	4	7	3	5	7	2	0	2	1	1
SLC8A2	18	7	7	9	10	2	10	3	7	7	5	6
KPTN	212	190	112	140	160	126	150	103	195	138	179	139
RPS25	3698	4102	3065	2573	2249	2463	3129	1245	2955	2852	2067	2344
KIF14	711	656	252	441	536	264	549	397	629	443	597	432
TNNT2	14	8	11	9	22	18	33	18	20	14	12	14
DDX59	391	434	308	254	288	273	329	167	351	274	300	201
CAMSAP2	2004	2024	1431	1305	1310	1367	1410	951	2060	1435	1629	1332
ATF6	2872	2945	2195	1997	2024	2379	2581	1560	2975	2322	2369	1828
CRYGD	0	0	0	0	0	0	0	0	0	0	0	0
MREG	141	145	72	85	133	118	136	131	236	144	207	154
TNP1	1	0	0	0	0	0	2	1	0	0	0	0
FASTKD2	808	840	524	543	619	422	699	426	921	624	708	695
NRP2	137	106	32	39	53	28	56	42	108	32	46	80
CREB1	805	891	530	514	514	514	599	350	801	574	580	465
KLF7	303	322	254	163	155	113	185	84	182	83	107	93
TTR	5	13	8	2	8	10	20	2	6	17	7	9
B4GALT6	212	220	118	152	153	148	180	139	231	173	210	193
C1orf54	7	4	7	2	4	10	3	1	10	5	3	5
CA14	49	50	20	31	41	16	30	23	33	30	27	14
CASC1	910	984	423	419	256	383	529	142	329	550	249	236
LRMP	86	83	44	39	24	32	43	13	45	49	24	19
ATP10B	29	6	1	3	6	2	3	0	0	1	6	2
SPCS2	866	886	583	532	668	544	756	509	1030	773	774	626
USP35	283	242	193	166	186	172	198	109	207	156	187	113
ELOVL4	122	136	93	66	106	97	119	56	116	97	105	78
FILIP1	6	7	2	5	3	2	6	3	0	4	4	1
CASP8AP2	963	890	485	621	809	514	657	547	979	682	819	742
HMGN3	310	342	172	200	226	192	259	135	276	189	249	231
UBE3D	172	179	121	111	128	85	137	79	155	128	101	98
CNR1	836	594	285	837	882	650	624	471	1024	1208	825	424
SPACA1	1	3	1	0	1	0	0	2	2	0	1	2
ANKRD13C	240	227	133	148	126	120	150	108	260	159	166	119
SGIP1	11	28	37	3	27	23	23	11	13	24	3	1
PHF3	5525	5503	3528	3435	3459	3446	4323	2071	4849	3889	3322	2892
ZC2HC1B	2	1	2	1	0	0	0	0	0	1	2	0
ADGB	0	0	0	1	0	0	0	1	2	3	0	2
PLAGL1	1354	1324	844	755	684	781	844	469	1059	863	762	504
FBXO30	608	646	396	395	502	334	436	334	613	430	499	401
TNFAIP3	512	762	1281	317	1578	3083	1817	1256	2516	601	1516	1148
AKAP7	468	464	238	182	491	126	329	239	324	224	247	265
RAB32	133	169	114	73	89	108	130	74	166	77	127	93
MYB	290	272	91	123	207	68	199	157	256	132	251	159
ALDH8A1	10	14	2	4	4	4	4	2	4	2	3	1
SGK1	724	649	1210	558	1294	2640	1240	843	1324	1932	1287	801
RNF146	949	1072	619	574	684	644	773	426	851	643	715	579
ARG1	60	54	41	21	41	34	31	21	37	34	18	17
CTGF	236	317	316	197	177	140	174	140	167	105	168	120
TCF21	398	428	486	309	414	537	376	175	422	798	407	246
PMFBP1	415	432	170	243	137	110	197	105	242	159	151	89
FBXL5	1801	1855	1277	1220	1192	1159	1423	939	2146	1362	1591	1390
MED28	819	837	569	547	508	489	709	378	850	613	624	500
SLC16A7	29	25	7	13	1	5	12	7	13	7	9	9
TMEM5	249	294	162	176	205	163	234	158	260	183	216	214
ZNF430	61	44	47	33	37	31	49	28	69	43	30	39
VAMP8	1036	1194	666	756	904	910	971	667	1112	994	982	676
DCLRE1B	138	120	46	74	89	43	108	76	122	87	114	94
MYL12B	1755	1784	1027	990	1177	1095	1493	843	1876	1167	1338	1168
FOXO3	1496	1693	1361	901	845	1010	1150	458	1096	964	669	583
ARMC2	58	71	39	45	59	40	62	36	50	68	56	40
GHRH	2	3	2	1	0	3	0	0	1	0	0	1
RPN2	36393	37561	23299	24606	23555	25571	35508	19007	38630	26307	28695	21402
TGIF2	839	845	448	510	440	427	560	386	734	559	480	398
CASQ2	0	0	0	0	0	0	0	0	0	1	0	0
OLFM3	0	0	0	0	0	0	0	0	0	0	0	0
PKD2	991	942	563	584	660	645	748	534	974	692	901	667
ABCG2	3	4	1	0	7	3	6	8	3	3	2	3
SPP1	0	1	0	0	1	2	0	0	0	0	0	1
STBD1	55	50	37	19	17	33	35	12	31	31	24	36
CCNI	5861	6347	4465	4135	3440	3535	4670	1952	4663	3801	3077	2459
RARRES1	104	111	68	83	109	68	113	78	167	110	92	118
MFSD1	711	827	486	462	499	540	605	404	697	629	650	501
RAB3GAP2	2349	2355	1722	1488	1526	1500	1881	965	2309	1634	1584	1381
EEF2KMT	109	116	46	69	79	47	86	62	99	74	75	62
PPL	10525	9685	6914	5479	7574	10102	6900	4668	9048	9519	8513	4839
UBN1	2367	2117	1547	1316	1862	1636	1605	1185	2405	1686	1966	1406
KLF12	34	28	18	13	35	13	16	8	19	19	14	7
UCHL3	442	471	228	279	314	223	347	262	505	349	382	376
PCDH17	342	350	167	168	408	160	260	222	293	134	275	176
HS1BP3	632	674	518	402	437	511	528	286	571	492	385	378
LDAH	547	610	328	423	444	387	507	256	541	437	434	396
WDR35	1702	1751	1035	1063	1034	836	1138	687	1321	1136	979	988
CCND2	207	227	151	42	224	114	255	156	138	102	95	124
FGF23	1	1	0	0	0	0	0	0	1	0	0	0
ELL2	5599	6272	5113	3187	4553	4897	4605	2289	6162	4311	3941	2770
DNAH7	451	504	275	239	243	186	319	118	248	299	184	194
CYP20A1	296	307	252	241	258	213	239	222	363	243	273	218
NDUFB3	288	320	192	224	280	253	318	194	408	284	306	312
GTF3C3	1102	1196	879	815	777	768	1045	595	1196	901	945	787
SATB2	1015	965	658	678	823	743	797	609	1131	661	898	618
UBE2B	401	365	316	253	296	287	377	181	420	320	289	266
TRPM6	194	174	91	94	69	58	101	72	87	112	52	60
GDA	430	460	269	275	254	225	430	148	487	190	187	225
KLF9	149	147	83	75	70	73	75	37	27	66	26	21
TJP2	6727	6851	3851	4296	4900	4100	5536	3523	6901	5132	5121	3973
C2orf40	0	0	1	0	0	1	1	0	0	0	0	1
ITGB1BP1	887	979	495	613	845	619	819	609	1005	820	891	776
CPSF3	3998	4076	2434	2869	2770	2337	3394	2110	4053	3132	3055	2908
PIGZ	399	440	236	182	243	197	259	108	260	226	174	149
SENP5	1350	1397	1065	898	1067	1018	1061	758	1618	1058	1214	1060
CCDC92	831	873	689	500	492	555	659	348	611	517	512	367
C1orf198	482	461	312	259	279	273	340	217	447	293	318	299
TRIM67	2	0	1	0	0	0	0	0	1	0	0	0
HEATR1	5342	5410	3248	3605	3287	2770	3974	2374	4895	3873	3564	3144
PTBP3	3888	4245	3115	2659	3116	2977	3974	2372	4708	2552	3566	3215
RAD23B	4966	5335	3978	3053	3688	3719	4045	2531	5836	4300	4075	3181
FKBP15	2533	2539	1610	1480	1667	1643	1863	1132	2301	1633	1777	1313
CTNNAL1	1479	1424	681	902	961	482	1078	663	1398	902	1027	1081
FAM206A	231	259	143	180	129	125	163	101	272	192	174	138
WDR34	2795	2542	913	1593	1849	898	1612	1388	2179	1521	1828	1614
SET	4533	4525	2547	2926	2787	2247	3340	2105	4144	2882	3140	2793
PTPA	3189	3041	1589	2025	2078	1614	2283	1784	3120	2418	2349	1825
GLE1	2399	2304	1245	1376	1423	1350	1799	1195	2102	1508	1755	1244
RAB14	906	940	630	634	596	633	752	469	1017	685	786	548
CNTRL	2552	2615	1173	1574	1572	982	1851	1192	2029	1447	1620	1354
TRIM32	411	425	247	217	230	208	267	154	311	244	255	211
FBXW2	2273	2193	1471	1285	1626	1332	1659	1159	2164	1749	1745	1385
PHF19	1655	1566	646	1065	984	612	1150	872	1476	1031	1131	833
NEK6	901	991	703	612	560	501	926	393	1133	619	548	527
BSPRY	607	595	336	374	391	350	434	304	507	405	422	334
PPP6C	1042	1042	762	767	848	753	913	624	1182	920	951	807
NDUFA8	484	549	304	396	411	358	472	272	549	404	484	371
HDHD3	331	267	147	176	197	125	245	123	274	203	191	168
RBM18	325	422	277	209	248	247	251	144	376	265	273	219
SLC46A2	28	32	7	18	17	16	16	18	18	29	30	13
HSDL2	837	833	499	538	695	554	778	397	968	682	729	590
MAPKAP1	2060	2172	1301	1377	1513	1338	1748	1040	2114	1669	1618	1303
NR4A3	36	43	36	20	29	46	41	20	50	46	34	24
INVS	1754	1727	1149	1108	1214	1146	1351	787	1570	1276	1173	962
GALNT12	1127	1115	500	688	589	440	766	481	801	757	670	495
DENND1A	1316	1411	855	892	1041	832	1147	781	1476	963	1077	844
ALG2	790	882	525	403	796	585	937	534	762	665	615	661
CSF3R	2	1	7	0	13	16	7	4	3	12	7	1
KDSR	645	667	533	402	454	545	563	307	639	554	505	378
VPS4B	894	956	563	602	615	604	757	408	881	683	628	497
ONECUT2	22	15	23	12	46	18	25	32	29	20	29	18
C19orf25	486	409	306	254	272	243	261	157	352	298	245	224
ZBTB45	257	276	205	167	192	165	199	120	220	157	171	128
YLPM1	7249	6949	4030	4469	5148	3827	4909	3495	6653	5077	4982	3889
DCAF4	341	331	185	188	173	181	211	137	226	192	181	124
PROX2	4	1	0	1	1	1	1	2	2	1	3	2
VSX2	1	1	0	0	0	0	0	0	0	0	0	0
FCF1	798	780	573	560	488	540	613	402	761	586	593	524
PGF	28	48	46	18	17	18	13	4	21	14	14	8
IFI27L2	143	237	120	94	101	110	157	64	167	102	113	112
BBOF1	85	126	42	53	46	54	59	35	65	53	49	42
NEK9	3343	3211	2208	2378	2436	2265	2719	1480	3006	2462	2350	1950
ACYP1	174	136	84	103	122	97	134	98	153	159	136	124
IFT43	387	451	297	260	301	345	362	166	316	337	291	263
NPC2	662	771	510	421	419	673	658	304	602	461	471	436
DNAL1	257	283	165	182	230	183	212	134	304	240	214	230
IRF2BPL	1232	1208	750	792	884	660	808	517	1040	824	811	685
ACOT2	538	622	376	350	369	329	446	290	545	403	382	351
LTBP2	4380	3817	2071	1930	2663	2199	2052	2008	2909	2467	2441	1603
AREL1	2005	2040	1485	1357	1617	1448	1619	1142	2076	1441	1818	1300
MLH3	1220	1345	784	849	851	703	898	494	1025	912	798	725
TTLL5	2147	2139	1239	1365	1582	1236	1657	999	1884	1610	1505	1216
FLVCR2	166	145	94	105	133	121	91	109	181	162	206	102
ABCD4	1732	1616	1307	1093	903	990	1222	607	1347	951	932	717
DLST	2331	2468	1678	1320	1480	1437	1795	1069	2153	1710	1536	1245
PPP4R4	6	4	6	3	16	17	24	11	14	10	6	12
TGFB3	248	241	113	122	122	203	143	96	147	200	204	63
ZC2HC1C	85	74	60	39	76	43	66	43	88	72	56	65
SLIRP	648	682	458	479	493	412	629	389	841	593	691	646
RBM25	2443	2305	1535	1436	1686	1341	1574	1115	2507	1692	1885	1828
ALDH6A1	788	762	569	547	469	534	677	288	533	504	410	343
GPR68	29	24	15	11	20	19	15	16	18	24	21	13
ESRRB	2	1	0	0	0	0	0	0	1	0	0	0
EIF2B2	1909	2057	1374	1273	1252	1176	1618	981	1967	1286	1480	1180
NRDE2	1235	1075	734	696	684	630	750	463	936	712	695	514
COQ6	342	399	197	243	269	213	294	209	329	259	282	189
ZNF410	32	24	28	20	22	16	25	19	33	17	21	24
RHOQ	332	343	162	179	226	174	195	141	282	227	217	208
GPR75	218	256	174	158	206	119	190	190	351	210	246	205
SUPT7L	1592	1598	1204	1044	1169	1097	1342	720	1513	1092	1156	861
KLHL29	174	181	110	87	190	80	139	108	136	104	105	102
DNMT3A	3476	3368	2045	1942	1844	1720	2072	1298	2506	2024	1959	1442
TMEM214	2882	3052	2168	1811	1978	2257	2498	1585	2942	1962	2358	1631
ATAD2B	1630	1683	1023	1092	1359	1062	1238	929	1964	1310	1535	1323
FKBP1B	67	57	41	46	49	47	68	32	71	30	45	37
ATL2	1491	1550	1113	1086	1074	1045	1366	819	1726	1187	1259	1174
YPEL5	640	686	627	389	301	584	506	210	451	356	283	236
FAM98A	887	878	494	573	628	558	632	513	1076	789	825	607
YIPF4	584	694	509	501	503	502	617	311	672	519	531	387
AFTPH	2595	2861	2225	1743	1872	2105	2247	1154	2611	1961	1901	1541
LGALSL	156	148	81	71	109	94	97	95	170	118	198	87
CNRIP1	0	0	0	0	2	0	0	0	0	0	0	0
BCL11A	964	929	525	677	555	383	508	351	835	667	470	483
CRIPT	284	372	181	190	198	181	248	118	242	229	207	158
EPCAM	14156	15243	9903	10222	9002	10146	12444	6560	13888	9811	10407	10109
SLC17A5	192	213	145	133	193	287	255	126	226	217	240	207
OGFRL1	134	124	76	81	89	61	77	77	110	99	91	83
SLF2	1763	1683	828	1087	1308	937	1278	925	1982	1381	1544	1256
IDE	2215	2060	1067	1458	1710	1175	1760	1347	2507	1744	2123	1810
TECTB	11	1	5	2	2	3	1	3	5	1	2	4
ELOVL3	47	38	23	16	29	47	26	27	42	42	52	36
IFIT3	224	204	157	130	414	156	205	495	1468	367	896	1244
NKX2-3	0	0	0	0	0	0	0	0	0	2	0	0
IFIT2	100	81	61	47	93	60	67	103	254	103	151	180
GPAM	571	637	353	398	427	350	503	321	651	437	493	417
CUTC	306	295	176	181	174	143	184	146	266	181	188	171
PPP1R3C	1156	1296	1197	807	832	2246	1038	603	1534	1687	1609	778
PYROXD2	333	329	174	233	204	196	191	123	213	264	151	125
CNNM1	5	5	1	1	1	0	4	2	6	4	2	0
MXI1	825	976	795	476	373	839	702	155	601	593	292	217
SMNDC1	420	417	255	285	326	260	318	227	436	297	328	325
C10orf88	319	339	198	208	207	190	211	146	289	209	209	202
HELLS	1946	1587	673	1161	1323	581	1295	997	1845	1278	1611	1474
PRLHR	0	0	0	0	0	0	0	0	0	0	0	0
TCTN3	1604	1697	1035	1087	1127	1113	1414	822	1641	1280	1269	971
FAM45A	723	707	423	419	468	453	542	386	731	467	609	469
AVPI1	324	326	263	185	210	289	228	137	337	293	236	212
WDR11	3075	3038	1953	2007	2087	2041	2460	1353	2911	2256	2219	1712
C10orf76	1361	1360	934	929	1074	964	1143	733	1445	1183	1111	836
KCNIP2	53	55	39	40	52	34	45	32	69	62	41	36
CFAP58	14	18	5	7	12	7	14	9	10	8	9	5
GOT1	1234	1175	698	636	1057	775	1134	781	1293	1041	1004	787
CPN1	19	37	20	21	20	10	22	10	27	21	19	12
C10orf95	34	28	26	16	19	6	14	12	17	27	10	18
SFRP5	6	4	1	2	10	2	1	1	2	4	3	2
GNA13	1148	1186	853	716	763	737	871	528	1119	765	838	666
HOXB8	128	125	40	40	156	34	105	70	52	52	36	58
KANSL1	5466	6071	4568	3534	3423	3251	4332	2124	4941	3605	3309	2617
HOXB5	164	157	72	81	158	31	115	65	80	58	49	49
CRHR1	8	16	7	1	16	4	17	8	8	3	5	6
HOXB3	325	308	149	123	198	111	215	122	144	129	123	105
HOXB1	1	1	4	0	4	2	2	0	0	2	0	1
DUSP1	471	677	590	325	360	538	307	149	615	400	311	214
PANK3	1513	1581	1077	1085	1245	1108	1307	877	1874	1247	1351	1101
MSX2	32	32	16	22	28	37	22	32	78	33	52	33
TEK	46	47	44	18	36	45	30	22	22	72	44	16
RCL1	335	356	260	210	211	199	271	170	337	241	243	226
CAAP1	2040	2347	1421	1439	1527	1296	1692	880	2224	1475	1525	1470
EQTN	4	4	7	1	2	3	2	3	9	6	5	3
MOB3B	879	809	456	699	648	387	655	475	991	434	744	524
INSL6	296	301	204	171	189	189	227	148	276	206	198	152
INSL4	8	9	7	11	6	8	9	6	19	7	11	12
MLANA	10	7	5	5	6	8	5	4	16	11	5	4
CD274	16	7	4	2	15	10	6	8	16	18	9	10
IFNA6	0	0	0	0	0	0	0	0	0	0	0	0
IFNA8	0	0	0	0	0	0	0	0	0	0	0	0
GRIA2	437	362	237	256	190	186	241	121	264	202	171	145
NUP43	1311	1365	790	883	843	704	1046	708	1299	941	1000	806
MTHFD1L	1961	2116	1168	1120	1473	963	1396	1186	2058	1626	1538	1421
LRP11	6347	5954	3916	4267	4429	4842	5105	3179	6051	4922	4657	3482
CCDC170	22	17	8	5	9	4	32	12	10	8	4	16
PCMT1	1234	1374	753	899	930	883	1091	754	1456	1024	1189	978
PLEKHG1	1687	1571	794	1037	1054	1272	1178	848	1585	1280	1350	968
MYCT1	2	3	3	2	2	4	0	0	4	6	6	3
CXorf21	2	8	2	5	4	2	3	4	6	2	3	2
MAGEB4	0	0	0	0	0	0	0	0	0	0	0	0
CYSTM1	718	818	484	443	446	462	553	307	638	508	489	412
WDR55	1540	1529	1134	972	995	912	1123	634	1369	1019	947	859
ARAP3	1410	1280	793	807	887	736	813	599	1120	837	812	586
PCDHB8	1985	1853	1172	1142	1125	1284	1391	1001	1693	999	1486	1038
PCDHB10	681	742	437	366	345	573	598	295	544	370	462	276
PCDHB14	888	894	566	503	545	564	680	434	640	418	581	405
PCDHB12	366	355	178	171	166	194	235	129	196	147	191	102
SLC25A2	57	46	51	21	39	18	19	20	30	23	18	17
TNN	519	583	279	266	288	200	409	233	266	269	206	240
MRPS14	194	197	103	116	121	69	148	96	150	133	111	122
CENPL	135	131	59	73	97	63	91	86	153	81	143	120
TNFSF18	0	0	0	0	0	0	0	1	1	0	0	1
SEC16B	403	368	260	227	219	226	272	166	377	270	252	226
GORAB	209	207	135	134	151	119	140	79	216	105	124	112
GPR31	0	0	0	0	0	0	0	0	0	0	0	2
ACAT2	2145	2000	777	1361	1019	662	1214	849	1505	1013	1295	1154
TCP1	6934	7565	4812	4938	5994	4816	6606	4625	9534	6354	7048	6438
TTLL2	89	97	32	32	51	26	38	20	23	71	20	22
SNX19	2210	1976	1452	1385	1911	1748	1984	1355	2248	1526	2021	1491
KCNJ5	1	0	0	0	0	1	0	0	0	0	0	0
MSANTD2	432	362	252	258	301	255	322	212	428	317	317	302
TP53AIP1	3	0	0	0	3	1	1	1	1	1	1	1
TEX11	16	18	6	11	8	8	23	11	18	20	6	15
ARR3	38	49	32	30	21	20	26	12	34	19	28	25
PDZD11	830	921	509	564	592	583	781	437	870	662	737	568
SLC10A7	267	254	169	197	219	213	197	161	260	186	202	199
NUDCD1	1793	1882	1247	1205	1289	1133	1448	817	2069	1437	1328	1548
ENY2	152	182	172	111	138	89	137	78	137	112	101	118
MASTL	873	801	430	557	683	397	635	537	1064	600	856	780
KIAA1217	9726	9465	6243	5481	5485	6117	6780	3766	9193	5899	6103	4685
LYZL1	0	0	0	0	0	0	0	0	0	0	0	0
PLXDC2	79	84	38	12	173	40	121	47	44	65	40	46
EPC1	1047	1198	762	658	722	636	850	506	970	764	761	679
